id;course_id;grade
6;2;13.5
6;2;12
6;2;8
6;2;12
6;2;14
6;4;9
6;4;11
6;4;10
6;4;8.5
6;4;10.5
6;4;8.5
6;4;6
6;4;11
6;4;11.5
6;3;11
6;3;10.5
6;3;13
6;3;15
6;3;4.5
6;3;16.5
6;3;12.5
6;3;12
6;3;17
6;6;9.25
6;6;10
6;6;10.5
6;6;10.25
6;6;10
6;6;10.5
6;6;10.75
6;5;13.3
6;5;13.9
6;5;12.6
6;5;12.4
6;5;12.2
6;5;11.4
6;5;10.9
6;10;10.75
6;10;15.25
6;10;11
6;10;15.5
6;9;10
6;9;7.5
6;9;7
6;9;3.5
6;9;9.5
6;9;13.5
6;7;12
6;7;15.25
6;7;11.25
6;1;17.5
6;1;13
6;1;14
6;1;14
6;8;11
6;8;15
6;8;7
6;8;13
6;8;9.5
6;8;11
6;8;9
6;8;9
13;2;9.5
13;2;9.5
13;2;11
13;2;15.5
13;2;12
13;4;10
13;4;10
13;4;9.5
13;4;10
13;4;8
13;4;8.5
13;4;12
13;4;10
13;4;11.5
13;3;13.5
13;3;10.5
13;3;11
13;3;12.5
13;3;7.5
13;3;14.5
13;3;13.5
13;3;10.5
13;3;15.5
13;6;11.5
13;6;9.75
13;6;9.75
13;6;9.25
13;6;10
13;6;10.25
13;6;8.5
13;5;11.6
13;5;10.8
13;5;12.2
13;5;11.6
13;5;11.3
13;5;12.6
13;5;11.9
13;10;11.5
13;10;14
13;10;11.25
13;10;13
13;9;9
13;9;3
13;9;7.5
13;9;6.5
13;9;3
13;9;1
13;7;13
13;7;unknown
13;7;10.75
13;1;14
13;1;17.5
13;1;10
13;1;10
13;8;11
13;8;9.5
13;8;7
13;8;9
13;8;10.5
13;8;13
13;8;14.5
30;2;14
30;2;10
30;2;14
30;2;11.5
30;2;9
30;4;10.5
30;4;unknown
30;4;12
30;4;9
30;4;8.5
30;4;14
30;4;10
30;4;10.5
30;4;9.5
30;3;9.5
30;3;10.5
30;3;10.5
30;3;12.5
30;3;14
30;3;12
30;3;14
30;3;11.5
30;3;2
30;6;10
30;6;9
30;6;11
30;6;11.25
30;6;10
30;6;10.5
30;5;12.1
30;5;12.5
30;5;10.5
30;5;10.1
30;5;12.6
30;5;9.2
30;5;12.3
30;10;11
30;10;13.25
30;10;15.5
30;9;2.5
30;9;5
30;9;13
30;9;6.5
30;9;5
30;9;8
30;7;15.75
30;7;14
30;7;15.5
30;1;11.5
30;1;10.5
30;1;13
30;1;14
30;8;8.5
30;8;10.5
30;8;9.5
30;8;12
30;8;8.5
30;8;8.5
30;8;7.5
30;8;14.5
30;8;13
45;2;11
45;2;10.5
45;2;13.5
45;2;10.5
45;2;11.5
45;4;10.5
45;4;11
45;4;11
45;4;7.5
45;4;6
45;4;8.5
45;4;13.5
45;4;3.5
45;4;12.5
45;3;17
45;3;8
45;3;13.5
45;3;8.5
45;3;9
45;3;11
45;3;7
45;3;14
45;3;10
45;6;9.25
45;6;9.25
45;6;10.75
45;6;10.5
45;6;11
45;6;11
45;6;11
45;5;10.7
45;5;10.6
45;5;11.7
45;5;10.5
45;5;11.2
45;5;10.6
45;5;10.5
45;10;14.25
45;10;13.5
45;10;15.25
45;9;10
45;9;4.5
45;9;10
45;9;9.5
45;9;6
45;9;6.5
45;7;13.5
45;7;17.75
45;1;10.5
45;1;13
45;1;11.5
45;1;14
45;8;8.5
45;8;13.5
45;8;12
45;8;7
45;8;7.5
45;8;15
45;8;9.5
45;8;10.5
45;8;9.5
54;2;12.5
54;2;9
54;2;11
54;2;7
54;2;9.5
54;4;7.5
54;4;12.5
54;4;9
54;4;6.5
54;4;9.5
54;4;9.5
54;4;6.5
54;4;7.5
54;4;12.5
54;3;12
54;3;11.5
54;3;20
54;3;11
54;3;16
54;3;13
54;3;10.5
54;3;13.5
54;3;12.5
54;6;9
54;6;10.25
54;6;12
54;6;9.5
54;6;10.5
54;6;10
54;6;11.75
54;5;13.4
54;5;10.6
54;5;9
54;5;12.6
54;5;12.9
54;5;10.8
54;5;12.2
54;10;13
54;10;13.5
54;10;11
54;10;10.5
54;9;12
54;9;5.5
54;9;3.5
54;9;2
54;9;7
54;9;6.5
54;7;16
54;7;11
54;7;10.75
54;1;10
54;1;9
54;1;8.5
54;1;11
54;8;8.5
54;8;8
54;8;13
54;8;14
54;8;11.5
54;8;8.5
54;8;8.5
54;8;10.5
54;8;6.5
100;2;10.5
100;2;13.5
100;2;11
100;2;14
100;2;10.5
100;4;8.5
100;4;10
100;4;9
100;4;9.5
100;4;12
100;4;8
100;4;unknown
100;4;12
100;4;7.5
100;3;5.5
100;3;15
100;3;11.5
100;3;14.5
100;3;9
100;3;11.5
100;3;12.5
100;3;13.5
100;3;15
100;6;11
100;6;10
100;6;7.5
100;6;9.75
100;6;8.75
100;6;11.75
100;6;9.25
100;5;10.7
100;5;11.2
100;5;11.1
100;5;12.6
100;5;12.6
100;5;12.5
100;5;11.8
100;10;13.25
100;10;11.75
100;10;10.25
100;10;14.5
100;9;7
100;9;6
100;9;8
100;9;8
100;9;9
100;9;12
100;7;14
100;7;12.75
100;7;12.25
100;1;11.5
100;1;12.5
100;1;14
100;1;11
100;8;9.5
100;8;7.5
100;8;9
100;8;8.5
100;8;11.5
100;8;14
100;8;8.5
100;8;13
100;8;8.5
190;2;10.5
190;2;6.5
190;2;11
190;2;13
190;2;12.5
190;4;8.5
190;4;7.5
190;4;8.5
190;4;9
190;4;9.5
190;4;8
190;4;8
190;4;9
190;4;10.5
190;3;8.5
190;3;12
190;3;12
190;3;13.5
190;3;13.5
190;3;13.5
190;3;11.5
190;3;13.5
190;3;12.5
190;6;8.75
190;6;10.25
190;6;9.75
190;6;10
190;6;10.75
190;6;9.75
190;6;10.25
190;5;12.2
190;5;12.7
190;5;11.8
190;5;10.9
190;5;10.1
190;5;11.6
190;5;11
190;10;12.75
190;10;9
190;10;10.25
190;10;9.25
190;9;0
190;9;6
190;9;4.5
190;9;8.5
190;9;8
190;9;4
190;7;unknown
190;7;14.5
190;7;13
190;1;9.5
190;1;9.5
190;1;12.5
190;1;10.5
190;8;12.5
190;8;13.5
190;8;9
190;8;10
190;8;7
190;8;8.5
190;8;8.5
190;8;11
190;8;10
200;2;11.5
200;2;15
200;2;14
200;2;12.5
200;2;10.5
200;4;9.5
200;4;11
200;4;8.5
200;4;13.5
200;4;8.5
200;4;8
200;4;16.5
200;4;13
200;4;9.5
200;3;14.5
200;3;14.5
200;3;12.5
200;3;13
200;3;12.5
200;3;10
200;3;12.5
200;3;12
200;3;16.5
200;6;11
200;6;11
200;6;10
200;6;11
200;6;11.25
200;6;11.25
200;6;10.75
200;5;12.5
200;5;12.7
200;5;11.7
200;5;10.9
200;5;12.6
200;5;11.2
200;5;10.2
200;10;13.75
200;10;13.25
200;10;12
200;10;11.5
200;9;6.5
200;9;13
200;9;9
200;9;10
200;9;7
200;9;6
200;7;13.75
200;7;15.5
200;7;15.5
200;1;10
200;1;8.5
200;1;12
200;1;9
200;8;11
200;8;6.5
200;8;13.5
200;8;11.5
200;8;9.5
200;8;9.5
200;8;7.5
200;8;6.5
200;8;10
213;2;12
213;2;11.5
213;2;11
213;2;12.5
213;2;10.5
213;4;12.5
213;4;11
213;4;11
213;4;13.5
213;4;12
